ANUAL,MES,NUMERO,VENDEDOR,DESCRIPCION,CODIGO,LINEA,SECCION,RUC_CLIENTE,NOMBRE_CLIENTE,BODEGA,ZONA,DOMICILIO,TELEFONO,MAIL,FECHADOCUMENTO,UNIDADES,VENTA
2023,Enero,12287,V.DIEGO,BANGLE ROSE GOLD S,5308136,JEWERLY,PULSERA,8b72ca852040a6c36dc2ec0877af775e13c89f7f83eb0dc8f7ea14edcc6c928c,26c8545b5cac8d318c88df4ed0da5f42b15540ab07b0da70f8bc93387bed1435,12,MALL ESTE,NORTE CALLE 57 N127,d6a16db4198a6f67cf83dc279f56abd7cfb01be987a8fea2102104dfe552127c,9df1202c690b3ce4f8edffd038afc1f81340c012bbe6f738c1f3c7c99777a32c,2023-01-01,1,122.9312
2023,Enero,10499,V.JORGE,NECKLACE CRYSTAL CLEAR M,5100291,JEWERLY,COLLAR,796e115c1d254815853031fb59cc1522189c77150280e78760f2d9c7c34f00e8,cf710b81724b763c6bd8214065f3706cdb84602568e1ef204977155124227b9f,13,MALL OESTE,AMAZONIA CALLE 75 N298,da95aa216a2b92e23be72adb205ce688e450399c69c93ceb9385bdf9f81406c1,c4f140147bf1824dcef55de53d00aa93fa11e3279417869b6118af185cb8d90a,2023-01-01,1,220.4028
2023,Enero,11788,V.DIEGO,EARRINGS HOOP GOLD M,5203832,JEWERLY,ARETES,1da7af88bea55e937cb7ddfe640e753d61267825c9606b93f2e6d345bff04eb6,09e899c5868e94e69b97502ba878d390a8b0a2ca6b0e3a8bbb71f2200151117a,11,CENTRO COMERCIAL SUR,VALLES CALLE 84 N5,4b27d98640bb61b418c472c71add84386e73ebdae95e5094a1d5d7a013a36c73,2ed7e165acb7b5f0cd63347fda3dc327acaca872c4cde9141765b10c2676c37d,2023-01-01,1,167.1981
2023,Enero,11008,V.IVAN,NECKLACE CRYSTAL CLEAR M,5101611,JEWERLY,COLLAR,6c28c8e8f00bd2a38d10f812e8e5cd29a3b1f4ede75d5503bd5c66e4ca6f61ff,92120000dfc61e3fcba16621d5a864405b74a01ced44edd2860127586d2fe3fd,10,CENTRO COMERCIAL NORTE,ORIENTE CALLE 13 N568,ce9a8cccaf5ed009ce3efdf1bbea27ade39df4840ca60b5183a2a38c1b04ad30,a28f25ac0a60ef3926eb09521f16dfd8b8ce231a0e6fd4adff711c521983afbd,2023-01-01,1,149.0872
2023,Enero,11037,V.ROSA,RING CHARM GOLD S,5401359,JEWERLY,ANILLO,80396a4cc808b3accf59dba2a0a096db666d4da23ab60f396c7b6cc694664bf6,a2eb349b0be7cf4c021854ae03b0d84e6cb10667608869d7f6d8159b1b6ec866,10,CENTRO COMERCIAL NORTE,SIERRA CALLE 32 N759,3299642fc926e4d01dd45ae0e504a9d60c45d5b7c0e47cc9093c3206512ad26d,9f532e183c2e3cbc765a1747be63d8cbda18dce40c9b47ca8b06a1683bc3a0e2,2023-01-02,1,87.7753
2023,Enero,11032,V.SOFIA,PENDANT SWAN ROSE GOLD,5108484,JEWERLY,COLLAR,e0897ee61fd4cbe529dd29cc22a846f75534309e053e0ead4cdb760bc56e7baa,c56f78af250494c64f518b97e26780c4b3930041bd5b3a4f34134cb2610218b7,12,MALL ESTE,COSTA CALLE 22 N787,459e4f75bcd07f23e0779c10d3fbf71a1f28e909fe04f718778cb042d4e02a39,5bf0f4c0463bc2459ca1406eaeab54596c2b92cfa86ba10a80d9b3c0b3ce4203,2023-01-02,1,123.1859
2023,Enero,11384,V.DIEGO,PE STUDS ROSE CRYSTAL,5202163,JEWERLY,ARETES,d5d96efb600f56fa4a1bb8d296dc5010107524566d0d9e61adb713a314329335,5628ac6b1a2445ac62ff26f9999a735dca92d9b896c1d910f5083bd86538bb30,10,CENTRO COMERCIAL NORTE,NORTE CALLE 46 N520,b4a3e305885404802307920fea0fdd484173a20d132ce066e14c1a40390c4fd4,d24c00de81f0502521aa9cecd155b50428643c2285c4a3cbe0ee1f34863ecf69,2023-01-02,1,136.6775
2023,Enero,12037,V.VERA,PRODUCT RELOJ Y SUS ACCESORIOS CRYSTAL,5697484,JEWERLY,RELOJ Y SUS ACCESORIOS,593aa7c7be2f3d96b7a69eb18e9b218efa5b51a2a235a7845d5167a9e1a724c5,bf63ad9cd654a0908edc3114e9a01b65eaa3dedf30aabde94823636e3460a0cc,12,MALL ESTE,ORIENTE CALLE 54 N286,a36223e2fa14c8557cb8f7987310329c805b5304052632c047ad754022d3974e,33273713f143c5c01c9f9c34010f1fcf694827cf6aa47c051c4cc982f74c9fe6,2023-01-02,1,159.7952
2023,Enero,12401,V.ANA,EARRINGS HOOP GOLD M,5209435,JEWERLY,ARETES,2ba565cc4518fb5dedf80ca3edbf951ea56a415543241719f4f23ce8f96ac646,650342be927e71e10b691d97da404c96d8e8ab4963ad529581f8e7acedea7388,11,CENTRO COMERCIAL SUR,AMAZONIA CALLE 31 N57,a09f56af8a74f56fdbf8fcc79a23b8d9267450edbb69cdbb866d9be51a8d32bb,74af59204bc857831927f57358775902f8e077f8550ef4454ce44d1b2a0503ae,2023-01-03,1,165.5922
2023,Enero,11147,V.DIANA,BANGLE ROSE GOLD S,5302404,JEWERLY,PULSERA,cb1d90da595d3d5dbf1047be7516f1000ba7657e4fd204e6fdff29e616a32685,1c8b482f11664bb9c3285dbb22902fd9d2dd7601af80881add55aeeeba2e4abd,13,MALL OESTE,INSULAR CALLE 82 N122,2eab60213d586b7806dbe18a916f70442ad6a82109bcb18b430c56113a1aa326,e8d91c9c1e344d4f58a45eb5b769ed238afbe4fe48efb4a96c522df0513cf300,2023-01-03,1,123.3076
2023,Enero,10782,V.TOMAS,RING SOLITAIRE CLEAR L,5401974,JEWERLY,ANILLO,ea4b48384d33be9604517993b3b5620b41d7ca2ead17e1ab9a3ae7bb4fddf668,07d75a10bcff3d9e60835e88b305a3620c2a71747a51d6791be458bc5ba6519b,11,CENTRO COMERCIAL SUR,SUR CALLE 62 N52,3df29c93430daff123558d7695752646f19dfc3235cce5778b12f65c8a150b09,a74e0ec3b99fbeda41ca8e4e27f588c1cd0502a428a45ca5b5ba333308252258,2023-01-03,1,150.3445
2023,Enero,10091,V.RAUL,NECKLACE CHARM SILVER L,5102772,JEWERLY,COLLAR,8249d83803b5b6677e6269df490f82d982a6dc064ae3dafa0ea6c9aea38b75a9,c3fb15c61dfd7b505e9487df991e3723afa3ec8cdfd9c9db184938f915b68786,12,MALL ESTE,INSULAR CALLE 7 N759,d3c9934c072148e0e022c5442b2e84e7f6c0c304e2aba0152e57eebd737ba6ee,8675aa073fa6fa5c200b6e8fc1c42601379fc98344f80c24d7670d125e7a95f8,2023-01-03,1,117.4569
2023,Enero,10808,V.ROSA,EARRINGS HOOP GOLD M,5209060,JEWERLY,ARETES,6b37f8fdacaf17f2f76dbce9ecb4f558d89d8fb597e0bfb4ad7b6dcb61beb60f,fb1f1277bf4904bde72f7bfce65b11fa117a1d2fc3bbce4a935178455107d0fd,13,MALL OESTE,ORIENTE CALLE 97 N494,d79e6793666b3d5688deb2049dd9d24f4d093d82db7e77be1140bf34167e9709,39a10b994dfaebccdff17978ab80d8391209bc4b9c71ac30dd63f86b9dc839b0,2023-01-04,1,152.1766
2023,Enero,11371,V.ALBA,RING SOLITAIRE CLEAR L,5403628,JEWERLY,ANILLO,5d6de1cc211b275c246c67d133bd08c8feab11891b161b840a0a0c3eac4091c1,400337761f3579ae0bd196f9b695542329364bba0a58ad03a492fcc490b89f5c,10,CENTRO COMERCIAL NORTE,COSTA CALLE 42 N991,8038b7d57d13f40e0449e5f83ab889cd6446c12ed713774fc10932b8d26415ee,bd635ccde36d8d3682afc036ea5553989c27e21882e64d4102acd514a0f827c1,2023-01-05,1,159.2166
2023,Enero,11840,V.ELENA,NECKLACE CHARM SILVER L,5105166,JEWERLY,COLLAR,1e6e77872b05c47aefc17e4505681ee8dcaac4a6014d2a04a5fccfac60700fcd,1d2886e539ea8bef3854e36aea1a339c2d2aaec218fd0c7ee3341119f4d0eabb,11,CENTRO COMERCIAL SUR,SIERRA CALLE 54 N936,3266481e823a89733b4078513221961895ebe98d4fc5919388980c3231429134,a22bf59f2c701bf8256e0b4ff542e646ec96a0c094eefeb37615aa81b402b621,2023-01-05,1,216.8109
2023,Enero,12016,V.VERA,BRACELET TENNIS CRYSTAL L,5309043,JEWERLY,PULSERA,d803bff8dbf2601f70e7cfbecc353f1cb6c13ded7c8fd9b77b622ea479ede589,4b535c9d86b60c887f2b03c3f4d222c5aa97eb85ad2f1a53ad66b5d78a96a8b6,11,CENTRO COMERCIAL SUR,VALLES CALLE 68 N553,37ee671a4aaedc743dbbd2717c29944717ac50db03e53ed68715938cbed12ec1,eeec8372f952408b272b767161084abb23625830d128c88d9337cad03ead0057,2023-01-05,1,156.08
2023,Enero,11166,V.ANA,PRODUCT RELOJ Y SUS ACCESORIOS CRYSTAL,5626751,JEWERLY,RELOJ Y SUS ACCESORIOS,25760c3d44c2a2468a2475d3089fb895fc6b0011f481b1bc7f35e52b56c404de,0063b2df34e8aaaf4594c38d96312eb99c72ef89a2c695c4b8f0dd57e0eb2215,10,CENTRO COMERCIAL NORTE,OCCIDENTE CALLE 90 N175,422217c1d7b268836a0dc9efbd8d59d49d6675f36242ea55599094d532ffc60b,f26ec92296ba53a4d152f91e5b808c5324df333227ed1da1dac8681a3837189f,2023-01-06,1,345.7798
